"","Mercadoria","Vencimento","Preço de ajuste anterior","Preço de ajuste Atual","Variação","Valor do ajuste por contrato (R$)"
"214","","N24","4.807,4460","4.838,5100","31,0640","1.553,20"
"215","","F25","4.915,6340","4.943,8110","28,1770","1.408,85"
"216","ETH   - Etanol Hidratado","Z19","2.070,00","2.052,50","-17,50","525,00"
"217","","F20","2.062,50","2.067,50","5,00","150,00"
"218","","G20","2.062,50","2.067,50","5,00","150,00"
"219","","H20","1.900,00","1.900,00","0,00","0,00"
"220","","J20","1.830,00","1.830,00","0,00","0,00"
"221","","K20","1.790,00","1.790,00","0,00","0,00"
"222","","M20","1.790,00","1.790,00","0,00","0,00"
"223","","N20","1.790,00","1.790,00","0,00","0,00"
"224","EUP   - EURO (TIPO B)","F20","1.113,144","1.114,165","1,021","41,46"
"225","","G20","1.115,511","1.116,458","0,947","38,45"
"226","","H20","1.117,365","1.118,356","0,991","40,24"
"227","","J20","1.119,693","1.120,580","0,887","36,02"
"228","EUR   - Euro","F20","4.521,6440","4.522,0700","0,4260","21,30"
"229","","G20","4.536,1090","4.536,4900","0,3810","19,05"
"230","","H20","4.549,1550","4.549,7650","0,6100","30,50"
"231","","J20","4.565,9610","4.566,6150","0,6540","32,70"
"232","","N20","4.608,8830","4.610,4310","1,5480","77,40"
"233","","V20","4.661,3950","4.664,2200","2,8250","141,25"
"234","","F21","4.713,3060","4.718,4200","5,1140","255,70"
"235","FRC   - FRA de cupom","G20","2,93","2,93","0,00","0,00"
"236","","H20","2,76","2,74","-0,02","0,01"
"237","","J20","2,62","2,62","0,00","0,00"
"238","","K20","2,60","2,58","-0,02","0,01"
"239","","M20","2,54","2,53","-0,01","0,00"
"240","","N20","2,55","2,52","-0,03","0,01"
"241","","Q20","2,51","2,48","-0,03","0,01"
"242","","U20","2,49","2,45","-0,04","0,02"
"243","","V20","2,46","2,44","-0,02","0,01"
"244","","X20","2,47","2,43","-0,04","0,02"
"245","","Z20","2,45","2,44","-0,01","0,00"
"246","","F21","2,48","2,44","-0,04","0,02"
"247","","J21","2,43","2,40","-0,03","0,01"
"248","","N21","2,41","2,38","-0,03","0,01"
"249","","V21","2,41","2,39","-0,02","0,01"
"250","","F22","2,41","2,37","-0,04","0,02"
"251","","J22","2,40","2,37","-0,03","0,01"
"252","","N22","2,38","2,36","-0,02","0,01"
"253","","V22","2,40","2,39","-0,01","0,00"
"254","","F23","2,43","2,44","0,01","0,00"
"255","","J23","2,45","2,43","-0,02","0,01"
"256","","N23","2,46","2,44","-0,02","0,01"
"257","","V23","2,50","2,47","-0,03","0,01"
"258","","F24","2,54","2,53","-0,01","0,00"
"259","","J24","2,56","2,55","-0,01","0,00"
"260","","N24","2,60","2,58","-0,02","0,01"
"261","","V24","2,62","2,62","0,00","0,00"
"262","","F25","2,67","2,69","0,02","0,01"
"263","","N25","2,72","2,74","0,02","0,01"
"264","","F26","2,78","2,80","0,02","0,01"
"265","","N26","2,85","2,87","0,02","0,01"
"266","","F27","2,93","2,95","0,02","0,01"
"267","","F28","3,06","3,08","0,02","0,01"
"268","","F29","3,20","3,22","0,02","0,01"
"269","","F30","3,28","3,32","0,04","0,02"
"270","","F31","3,34","3,38","0,04","0,02"
"271","FRO   - FRA de Cupom Cambial em OC1","G20","2,93","2,93","0,00","0,00"
"272","","H20","2,76","2,74","-0,02","0,01"
"273","","J20","2,62","2,62","0,00","0,00"
"274","","K20","2,60","2,58","-0,02","0,01"
"275","","M20","2,54","2,53","-0,01","0,00"
"276","","N20","2,55","2,52","-0,03","0,01"
"277","","Q20","2,51","2,48","-0,03","0,01"
"278","","U20","2,49","2,45","-0,04","0,02"
"279","","V20","2,46","2,44","-0,02","0,01"
"280","","X20","2,47","2,43","-0,04","0,02"
"281","","Z20","2,45","2,44","-0,01","0,00"
"282","","F21","2,48","2,44","-0,04","0,02"
"283","","J21","2,43","2,40","-0,03","0,01"
"284","","N21","2,41","2,38","-0,03","0,01"
"285","","V21","2,41","2,39","-0,02","0,01"
"286","","F22","2,41","2,37","-0,04","0,02"
"287","","J22","2,40","2,37","-0,03","0,01"
"288","","N22","2,38","2,36","-0,02","0,01"
"289","","V22","2,40","2,39","-0,01","0,00"
"290","","F23","2,43","2,44","0,01","0,00"
"291","","J23","2,45","2,43","-0,02","0,01"
"292","","N23","2,46","2,44","-0,02","0,01"
"293","","V23","2,50","2,47","-0,03","0,01"
"294","","F24","2,54","2,53","-0,01","0,00"
"295","","J24","2,56","2,55","-0,01","0,00"
"296","","N24","2,60","2,58","-0,02","0,01"
"297","","V24","2,62","2,62","0,00","0,00"
"298","","F25","2,67","2,69","0,02","0,01"
"299","","N25","2,72","2,74","0,02","0,01"
"300","","F26","2,78","2,80","0,02","0,01"
"301","","N26","2,85","2,87","0,02","0,01"
"302","","F27","2,93","2,95","0,02","0,01"
"303","","F28","3,06","3,08","0,02","0,01"
"304","","F29","3,20","3,22","0,02","0,01"
"305","","F30","3,28","3,32","0,04","0,02"
"306","","F31","3,34","3,38","0,04","0,02"
"307","GBP   - Libra Esterlina","F20","5.315,0980","5.289,7500","-25,3480","887,18"
"308","","G20","5.326,5430","5.301,0660","-25,4770","891,69"
"309","","H20","5.336,7510","5.311,6050","-25,1460","880,11"
"310","GBR   - LIBRA ESTERLINA (TIPO B)","F20","1.308,845","1.303,089","-5,756","233,75"
"311","","G20","1.310,076","1.304,253","-5,823","236,47"
"312","","H20","1.311,018","1.305,209","-5,809","235,90"
"313","HSI   - Contrato Futuro de Índice BVMF Hang Seng","Z19","27.917","27.804","-113","73,45"
"314","","F20","27.998","27.885","-113","73,45"
"315","HYPEO - Contrato Futuro de HYPE3","F20","35,03","35,60","0,57","0,57"
"316","","G20","35,15","35,71","0,56","0,56"
"317","ICF   - Café Arábica 4/5","H20","152,40","144,95","-7,45","3.025,51"
"318","","K20","153,60","147,40","-6,20","2.517,88"
"319","","U20","161,50","153,85","-7,65","3.106,74"
"320","","Z20","164,55","156,95","-7,60","3.086,43"
"321","","U21","173,60","166,20","-7,40","3.005,21"
"322","","Z21","171,60","164,25","-7,35","2.984,90"
"323","IMV   - Contrato Futuro de Indice Merval","Z19","37.950,00","38.600,00","650,00","244.531.430,00"
"324","","F20","39.498,00","40.165,00","667,00","250.926.867,40"
